#Source,Telescope,Type,Outburst peak (MJD),Gauss std,Exponent tau
XTEJ1734-234,RXTE,?,,,
,,,51403,3.39,19.57
IGRJ17375-3022,RXTE,SFXT,,,
,,,52465,1.21,
,,,54751,1.35,2.76
,,,55043,1.56,2.13
IGRJ17597-2201,"RXTE, Swift",NS,,,
,,,53369,719.63,
SAXJ1753.5-2349,RXTE,NS,,,
,,,51392,2.93,4.11
,,,54753,3.36,5.96
,,,55281,8.94,12.12
WGAJ1715.3-2635,RXTE,?,,,
,,,52509,21.33,31.36
,,,51554,6.57,13.08
,,,51672,56.95,83.91
,,,,,
XTEJ1637-498,RXTE,LMXB,,,
,,,53214,5.86,6.71
,,,53817,6.25,5.15
,,,54710,5.87,7.83
,,,55310,1.77,
,,,55658,4.00,5.67
XTEJ1719-291,RXTE,NS,,,
,,,54546,3.41,4.66
XTEJ1719-356,"RXTE, Swift (XMMSL1 J171900.4-353217)",?,,,
,,,geen,,
XTEJ1728-295,"RXTE, Swift",LMXB,,,
,,,52946,59.43,9.52
,,,55462,25.47,37.26
,,,58487,68.56,30.58
XTEJ1737-376,RXTE,?,,,
,,,53053,2.27,
,,,54716,3.36,6.48
XTEJ1744-230,RXTE,?,,,
,,,Quasi persistant ,,
XTEJ1817-155,RXTE,?,,,
,,,54350,12.30,11.06
IGRJ17177-3656,Swift,?,,,
,,,55635,,11.26
IGRJ17451-3022,Swift,?,,,
,,,57013,55.35,
IGRJ17494-3030,Swift,?,,,
,,,56009,4.13,4.31
SAXJ1828.5-1037,Swift,?,,,
,,,unclear,,3.90
SwiftJ1357.2-0933,Swift,?,,,
,,,55545,50.12,31.49
,,,57757,75.79,36.93
XMMJ174457-2850.3,SwiftGC,?,,,
,,,54636,5.83,2.71
,,,55100,3.31,1.68
,,,55407,1.77,2.56
,,,56153,2.80,2.57
,,,57660,2.40,1.50
SwiftJ174553.7-290347,SwiftGC,NS,,,
,,,53897,2.70,4.51
SwiftJ174540.7-290015,SwiftGC,?,,,
,,,57447,46.08,42.39
SwiftJ174540.2-290037,SwiftGC,?,,,
,,,57450,15.76,17.21
,,,57555,8.05,8.46
SwiftJ174535.5-285921,SwiftGC,?,,,
,,,55748,2.62,4.19
,,,57580,3.15,3.60
GRS1741-2853,SwiftGC,?,,,
,,,54177,8.94,3.80
,,,55116,6.89,5.21
,,,55447,13.26,
,,,56520,5.55,2.28
,,,56542,3.06,1.47
,,,57485,5.77,3.26
,,,57505,1.64,1.20
,,,58048,4.10,7.79
