#Source,Type,Outbursts,Telescope,Quiescent avg,Quiescent stddev,Outburst peak (MJD),Gauss std,Exponent tau,Opmerkingen
XTEJ1734-234,?,1,,,,,,,
,,,RXTE,1.12,3.76,51403,3.39,19.57,
IGRJ17375-3022,SFXT,3,,,,,,,
,,,RXTE,5.32,10.73,52465,1.21,,
,,,RXTE,5.32,10.73,54751,1.35,2.76,
,,,RXTE,5.32,10.73,55043,1.56,2.13,
IGRJ17597-2201,NS,1,,,,,,,
,,,RXTE ,-4.55,6.31,,,,Quasi persistant
,,,Swift,0.00,0.00,,,,Quasi persistant
SAXJ1753.5-2349,NS,3,,,,,,,
,,,RXTE,-0.26,4.71,51392,2.93,4.11,
,,,RXTE,-0.26,4.71,54753,3.36,5.96,
,,,RXTE,-0.26,4.71,55281,8.94,12.12,
WGAJ1715.3-2635,?,1,,,,,,,
,,,RXTE,2.41,3.10,52509,21.33,31.36,
XTEJ1118+480,?,2,,,,,,,
,,,RXTE,0.06,0.03,51554,6.57,13.08,
,,,RXTE,0.06,0.03,51672,56.95,83.91,
XTEJ1637-498,LMXB,3,,,,,,,
,,,RXTE,2.75,3.06,53214,5.86,6.71,
,,,RXTE,2.75,3.06,53817,6.25,5.15,
,,,RXTE,2.75,3.06,54710,5.87,7.83,
XTEJ1719-291,NS,1,,,,,,,
,,,RXTE,0.26,3.62,54546,3.41,4.66,
XTEJ1719-356,?,1,,,,,,,
,,,RXTE ,2.21,2.69,,,,geen
,,,Swift,0.00,0.00,,,,geen
XTEJ1728-295,LMXB,3,,,,,,,
,,,RXTE,4.78,5.10,52946,59.43,9.52,
,,,RXTE,4.78,5.10,55462,25.47,37.26,
,,,Swift,0.00,0.00,,,,
XTEJ1737-376,NS,2,,,,,,,
,,,RXTE,-2.51,2.72,53053,2.27,,
,,,RXTE,-2.51,2.72,54716,3.36,6.48,
XTEJ1744-230,?,1,,,,,,,
,,,RXTE,8.33,8.73,,,,Quasi persistant 
XTEJ1817-155,?,1,,,,,,,
,,,RXTE,3.33,8.88,54350,12.30,11.06,
IGRJ17177-3656,BH,1,,,,,,,
,,,Swift,0.00,0.00,,,11.26,unclear
IGRJ17451-3022,?,1,,,,,,,
,,,Swift,0.00,0.00,57013,55.35,,
IGRJ17494-3030,?,1,,,,,,,
,,,Swift,0.00,0.00,56009,4.13,4.31,
SAXJ1828.5-1037,?,1,,,,,,,
,,,Swift,0.00,0.00,,,3.90,unclear
SwiftJ1357.2-0933,BH,2,,,,,,,
,,,Swift,0.00,0.00,55545,50.12,31.49,
,,,Swift,0.00,0.00,57757,75.79,36.93,
XMMJ174457-2850.3,NS,5,,,,,,,
,,,SwiftGC,0.00,0.00,54636,5.83,2.71,
,,,SwiftGC,0.00,0.00,55100,3.31,1.68,
,,,SwiftGC,0.00,0.00,55407,1.77,2.56,
,,,SwiftGC,0.00,0.00,56153,2.80,2.57,
,,,SwiftGC,0.00,0.00,57660,2.40,1.50,
SwiftJ174553.7-290347,NS,1,,,,,,,
,,,SwiftGC,0.01,0.01,53897,2.70,4.51,
SwiftJ174540.7-290015,?,1,,,,,,,
,,,SwiftGC,0.01,0.00,57447,46.08,42.39,
SwiftJ174540.2-290037,?,2,,,,,,,
,,,SwiftGC,0.01,0.01,57450,15.76,17.21,
,,,SwiftGC,0.01,0.01,57555,8.05,8.46,
SwiftJ174535.5-285921,?,2,,,,,,,
,,,SwiftGC,0.00,0.00,55748,2.62,4.19,
,,,SwiftGC,0.00,0.00,57580,3.15,3.60,
GRS1741-2853,?,8,,,,,,,
,,,SwiftGC,0.00,0.00,54177,8.94,3.80,
,,,SwiftGC,0.00,0.00,55116,6.89,5.21,
,,,SwiftGC,0.00,0.00,55447,13.26,,
,,,SwiftGC,0.00,0.00,56520,5.55,2.28,
,,,SwiftGC,0.00,0.00,56542,3.06,1.47,
,,,SwiftGC,0.00,0.00,57485,5.77,3.26,
,,,SwiftGC,0.00,0.00,57505,1.64,1.20,
,,,SwiftGC,0.00,0.00,58048,4.10,7.79,
