#Source	Type	Outbursts	Telescope	Quiescent avg	Quiescent stddev	Outburst peak (MJD)	Duration	Exponent tau	Opmerkingen
XTEJ1734-234	?	1							
			RXTE	1.12	3.76	51403	18.48	10.54	
IGRJ17375-3022	?	3							
			RXTE	5.32	10.73	52465	5.940	0.01	
			RXTE	5.32	10.73	54751	7.380	2.41	
			RXTE	5.32	10.73	55043	7.440	1.89	
IGRJ17597-2201	NS	1							
			RXTE 	-4.55	6.31				Quasi persistant
			Swift	0.00	0.00				Quasi persistant
SAXJ1753.5-2349	NS	3							
			RXTE	-0.26	4.71	51392	17.70	4.43	
			RXTE	-0.26	4.71	54753	20.22	5.99	
			RXTE	-0.26	4.71	55281	55.50	12.76	
WGAJ1715.3-2635	?	1							
			RXTE	2.41	3.10	52509	113.72	26.86	
XTEJ1118+480	BH	2							
			RXTE	0.06	0.03	51554	37.80	12.37	
			RXTE	0.06	0.03	51672	321.51	76.31	
XTEJ1637-498	?	3							
			RXTE	2.75	3.06	53214	17.70	2.73	
			RXTE	2.75	3.06	53817	29.90	3.28	
			RXTE	2.75	3.06	54710	30.20	5.67	
XTEJ1719-291	NS	1							
			RXTE	0.26	3.62	54546	20.94	4.47	
XTEJ1719-356	NS	1							
			RXTE 	2.21	2.69				geen
			Swift	0.00	0.00				geen
XTEJ1728-295	BH	3							
			RXTE	4.78	5.10	52946	261.45	22.21	
			RXTE	4.78	5.10	55462	135.62	59.77	
			Swift	0.00	0.00	58600		30.58	
XTEJ1737-376	NS	2							
			RXTE	-2.51	2.72	53053	15.33	3.05	
			RXTE	-2.51	2.72	54716	21.09	7.09	
XTEJ1744-230	?	1							
			RXTE	8.33	8.73				Quasi persistant 
XTEJ1817-155	?	1							
			RXTE	3.33	8.88	54350	61.23	7.90	
IGRJ17177-3656	BH	1							
			Swift	0.00	0.00	55650		11.26	
IGRJ17451-3022	?	1							
			Swift	0.00	0.00	57013			
IGRJ17494-3030	NS	1							
			Swift	0.00	0.00	56011	24.81	4.31	
SAXJ1828.5-1037	?	1							
			Swift	0.00	0.00				unclear
SwiftJ1357.2-0933	BH	2							
			Swift	0.00	0.00	55750		30.74	
			Swift	0.00	0.00	57900		35.86	
XMMJ174457-2850.3	NS	5							
			SwiftGC	0.00146	0.00157	54650		2.53	
			SwiftGC	0.00146	0.00157	55107	12.96	1.47	only 2 datapoints
			SwiftGC	0.00146	0.00157	55407	10.09	2.24	
			SwiftGC	0.00146	0.00157	56153	16.06	2.48	
			SwiftGC	0.00146	0.00157	57660	13.89	2.77	
SwiftJ174553.7-290347	NS	1							
			SwiftGC	0.00113	0.00082	53897	12.31	3.66	
SwiftJ174540.7-290015	?	1							
			SwiftGC	0.00922	0.00421	57447	242.94	36.75	
SwiftJ174540.2-290037	?	2							
			SwiftGC	0.00786	0.00511	57450	46.17	7.86	
			SwiftGC	0.00786	0.00511	57555	107.05	12.15	
SwiftJ174535.5-285921	?	2							
			SwiftGC	0.00149	0.00116	55748	14.40	3.16	
			SwiftGC	0.00149	0.00116	57580	16.61	2.93	
GRS1741-2853	NS	6							
			SwiftGC	0.00180	0.003	54177	53.09	3.20	
			SwiftGC	0.00180	0.003	55116	40.76	5.02	
			SwiftGC	0.00180	0.003	55447	76.20	4.71	
			SwiftGC	0.00180	0.003	56542	33.19	2.21	
			SwiftGC	0.00180	0.003	57485	34.41	3.20	
			SwiftGC	0.00180	0.003	58048	24.39	7.77	
