# ; SOURCE: IGR J17375-3022
# ; SOURCE RA:       264.395     SOURCE DEC:      -30.3817
# ; CREATION DATE: Fri Nov  4 01:44:50 2011
# ; DATE(MJD) RATE ERROR BKG SCANTYPE EBAND
#Time (MJD)	Rate
51214.869	4.37
51217.800	11.96
51220.731	1.81
51224.796	12.41
51227.727	14.87
51231.617	8.68
51234.789	12.35
51238.417	9.08
51241.322	5.97
51245.284	13.94
51248.187	12.12
51252.148	13.48
51255.849	7.95
51259.941	-1.24
51262.778	12.46
51265.802	14.06
51269.772	7.63
51273.728	8.10
51276.566	3.34
51280.457	2.50
51283.494	8.37
51287.384	-2.16
51290.223	7.60
51294.252	18.38
51297.821	7.05
51300.982	4.36
51303.951	18.67
51308.909	0.44
51311.678	2.36
51313.838	6.94
51318.671	11.10
51322.562	4.37
51325.465	15.36
51328.556	13.05
51332.391	21.23
51336.282	8.32
51338.452	8.83
51343.612	10.93
51346.612	-4.03
51364.597	-7.06
51367.630	6.25
51370.524	-0.82
51374.489	8.11
51377.445	7.14
51381.786	4.63
51385.818	1.73
51389.271	7.15
51392.094	15.74
51396.399	6.18
51399.559	-6.80
51402.595	9.31
51405.554	5.24
51408.523	6.13
51411.680	6.10
51415.581	-0.32
51420.468	18.55
51423.438	9.24
51427.259	8.44
51430.229	-0.16
51433.118	-5.95
51436.021	10.03
51441.105	-1.92
51444.876	21.58
51448.352	3.74
51452.736	10.34
51455.628	-0.03
51463.352	4.61
51466.319	1.53
51470.340	8.08
51472.244	17.32
51475.332	3.37
51478.101	3.75
51481.189	7.83
51484.158	0.94
51580.920	4.17
51584.804	6.50
51587.905	-3.06
51591.788	3.72
51594.755	16.63
51598.772	3.67
51602.404	-0.81
51605.435	-1.23
51610.922	14.57
51615.011	7.73
51618.107	20.26
51623.057	11.81
51626.819	1.50
51629.838	1.89
51633.734	8.98
51636.753	-3.26
51641.580	1.16
51645.528	3.01
51649.423	2.19
51653.372	-10.00
51656.271	9.88
51660.754	7.11
51664.119	18.91
51667.805	-0.87
51671.764	6.94
51674.784	3.94
51677.680	9.25
51683.689	10.91
51687.648	-4.97
51690.666	17.43
51694.426	18.37
51697.378	2.10
51702.266	35.73
51727.687	15.16
51731.643	16.50
51739.549	7.00
51743.494	-1.05
51747.254	11.93
51751.399	3.69
51755.291	11.48
51759.422	17.40
51763.396	-6.05
51767.479	6.21
51771.571	6.95
51775.652	-2.81
51779.542	15.91
51783.422	19.99
51787.311	16.67
51791.456	-9.34
51803.117	11.80
51807.145	-15.05
51811.948	7.67
51815.828	0.23
51819.721	29.01
51823.536	12.14
51827.559	18.73
51831.304	22.51
51835.326	13.89
51839.335	22.51
51843.225	1.37
51847.168	7.06
51947.033	1.38
51949.924	8.32
51953.929	15.63
51956.821	7.99
51960.719	13.00
51963.584	4.10
51967.906	4.13
51971.410	3.61
51975.247	-1.75
51977.913	25.10
51981.988	1.90
51986.071	-2.44
51989.879	5.81
51993.895	7.41
51996.774	7.47
51999.861	11.63
52002.871	20.27
52007.484	18.36
52011.686	20.06
52014.442	6.08
52017.385	8.34
52020.606	0.64
52024.866	-10.79
52027.768	-1.59
52031.046	-1.82
52034.994	16.52
52037.873	1.13
52040.959	17.51
52043.771	15.23
52047.851	3.64
52051.788	5.43
52055.669	19.51
52059.606	-14.16
52062.493	12.65
52065.503	-5.11
52090.820	4.19
52093.868	-4.44
52097.613	22.21
52101.618	14.23
52104.370	5.48
52107.510	-18.44
52111.259	12.28
52115.325	2.72
52119.273	27.71
52122.346	1.26
52125.102	35.36
52129.504	6.83
52132.525	-11.29
52135.535	3.78
52139.615	7.68
52143.551	-2.98
52146.570	-3.55
52150.570	2.79
52153.524	-4.49
52156.266	11.11
52160.146	17.98
52163.284	0.18
52167.033	12.45
52170.038	-1.69
52173.853	9.22
52177.853	12.58
52182.264	6.32
52184.678	8.74
52189.419	5.22
52192.559	-5.18
52195.378	4.66
52198.449	6.61
52202.195	-0.02
52205.333	10.01
52209.144	-3.29
52212.281	-2.01
52311.848	8.11
52314.978	-0.67
52317.925	-5.61
52322.640	-4.06
52325.520	-3.67
52328.716	10.80
52331.729	3.38
52339.921	11.53
52343.121	1.52
52345.933	28.53
52350.981	6.80
52353.923	0.31
52357.912	-12.18
52360.855	12.05
52363.854	1.09
52367.588	14.46
52384.312	8.23
52387.256	13.96
52390.321	6.16
52393.792	28.42
52398.045	7.51
52401.976	6.54
52404.973	7.15
52411.834	9.87
52414.774	2.55
52422.359	0.04
52426.543	13.52
52430.471	7.42
52455.835	13.53
52462.693	14.71
52465.630	91.27
52468.561	-2.68
52472.488	-6.36
52476.341	6.92
52479.279	20.79
52483.066	15.66
52486.402	18.50
52490.055	10.84
52493.393	16.97
52496.587	8.47
52500.517	26.01
52504.633	7.93
52507.638	-12.52
52510.565	0.60
52513.373	-2.15
52516.301	13.09
52520.229	7.47
52524.341	-3.80
52528.071	-1.57
52532.249	3.78
52535.849	9.19
52539.235	3.18
52542.769	14.85
52546.424	-0.55
52549.363	4.84
52552.555	11.44
52556.481	-7.81
52560.330	-15.29
52575.084	0.12
52578.154	7.58
52677.769	14.67
52680.756	7.47
52683.559	15.97
52686.676	7.74
52689.744	5.68
52692.598	2.86
52695.337	17.42
52713.924	7.81
52716.856	1.23
52720.895	-3.81
52723.828	3.99
52727.866	25.16
52730.669	8.07
52734.509	14.12
52737.640	18.27
52741.611	-1.10
52745.664	1.40
52747.797	15.29
52751.784	10.74
52755.169	8.06
52758.823	7.97
52761.943	6.16
52764.742	11.18
52772.567	0.12
52776.540	10.27
52779.668	-10.04
52783.376	4.62
52786.440	-3.50
52790.543	4.63
52793.475	10.27
52796.529	8.92
52823.623	4.06
52826.486	7.97
52829.473	3.36
52833.387	-1.25
52836.372	13.57
52839.369	-2.63
52843.273	8.15
52846.405	-5.46
52849.590	-0.36
52853.505	15.02
52857.676	6.21
52861.791	1.74
52865.565	-2.76
52868.495	14.54
52871.546	18.61
52874.345	10.52
52879.366	1.21
52883.349	19.75
52886.332	2.65
52889.198	13.16
52892.246	15.23
52895.177	13.35
52898.819	-2.48
52901.291	16.11
52905.462	5.77
52909.379	13.16
52912.628	7.72
52916.477	7.70
52919.526	6.54
