Obsdate		flux	flux_ler	BKG	BAND

 51214.922	0.61	2.31	16.36	1 
 51217.853      -1.23      2.83     16.48  1 
 51220.784      -1.17      2.84     16.63  1 
 51224.849      -1.68      2.46     16.45  1 
 51227.780      -3.88      2.40     16.92  1 
 51231.661       0.39      2.73     16.34  2 
 51234.843      -5.87      2.19     16.25  1 
 51238.461       3.09      2.99     16.25  2 
 51241.375       2.89      2.93     16.21  1 
 51245.329       1.49      2.91     16.32  2 
 51248.240      -4.05      2.44     16.09  1 
 51252.192      -0.28      3.13     16.57  2 
 51255.902      -0.30      2.81     16.68  1 
 51259.985       2.56      2.87     17.65  2 
 51262.831      -2.74      2.57     16.94  1 
 51265.847       4.58      2.81     17.68  2 
 51269.825      -1.49      2.65     17.17  1 
 51273.773      -0.47      3.08     17.35  2 
 51276.620       3.52      2.42     17.13  1 
 51280.500       0.05      3.06     17.17  2 
 51283.547      -2.59      2.82     16.84  1 
 51287.429      -2.16      3.13     17.20  2 
 51290.276       3.40      2.63     16.82  1 
 51294.296       0.20      3.06     17.09  2 
 51297.874      -3.77      2.82     16.65  1 
 51301.027      -1.67      4.06     17.30  2 
 51304.004       2.73      2.99     17.51  1 
 51308.953      -2.11      3.40     17.34  2 
 51311.731      -1.03      2.58     17.25  1 
 51313.882       0.54      3.02     17.55  2 
 51318.725       3.91      2.95     17.19  1 
 51322.606      -1.40      3.40     17.31  2 
 51325.518       0.31      3.63     16.98  1 
 51328.599       2.07      4.23     17.38  2 
 51332.444      -0.22      2.96     16.77  1 
 51336.324      -1.53      3.49     16.98  2 
 51338.505      -4.59      3.27     16.77  1 
 51364.639      -0.43      4.07     17.02  2 
 51367.683      -0.09      2.83     17.17  1 
 51370.566      -6.58      3.19     17.72  2 
 51374.542      -0.25      2.93     16.73  1 
 51377.490       2.46      4.34     17.34  2 
 51381.883      -0.55      3.12     17.43  1 
 51385.925      -0.66      3.73     18.46  2 
 51389.325      23.61      3.30     16.69  1 
 51392.139      43.17      4.51     16.87  2 
 51396.452      19.78      3.45     16.43  1 
 51399.604       5.31      4.63     16.50  2 
 51402.648       3.07      2.90     16.89  1 
 51405.600      -1.42      3.56     16.97  2 
 51408.576      -4.95      2.74     16.98  1 
 51411.725      -1.04      3.65     17.16  2 
 51415.635       0.82      2.83     16.76  1 
 51420.513       5.78      3.82     17.04  2 
 51423.492      -4.51      2.81     16.83  1 
 51427.304      -0.31      3.64     17.22  2 
 51430.283      -0.38      2.91     16.87  1 
 51433.163       0.67      3.71     17.23  2 
 51436.075      -0.17      2.81     16.72  1 
 51441.150       2.61      3.72     16.49  2 
 51444.929       1.55      2.82     16.41  1 
 51448.411      -6.92      3.58     16.82  2 
 51452.789      -0.31      2.93     16.40  1 
 51455.673      -0.33      3.60     17.19  2 
 51463.397       6.22      3.82     17.22  2 
 51466.373       2.40      2.88     16.62  1 
 51470.386      -2.68      3.13     16.94  2 
 51472.297      -6.53      2.60     16.50  1 
 51475.377      -4.68      3.50     17.06  2 
 51478.155       0.08      2.85     16.50  1 
 51481.234       0.64      3.54     16.83  2 
 51484.212      -2.87      2.83     16.66  1 
 51580.973       2.73      3.04     16.88  1 
 51584.850       5.63      3.63     16.98  2 
 51587.957      -1.73      3.54     16.59  1 
 51591.833       4.20      3.54     16.75  2 
 51594.808       3.46      3.01     16.47  1 
 51598.817      -2.24      2.99     16.82  2 
 51602.457      -5.44      2.75     16.45  1 
 51605.470       0.48      3.46     16.57  2 
 51610.975       2.06      3.06     16.67  1 
 51615.055      -1.33      3.38     16.48  2 
 51618.160       4.52      2.99     16.43  1 
 51623.101      -1.87      3.46     16.68  2 
 51626.872      -3.14      2.80     16.42  1 
 51629.884      -0.36      4.24     16.66  2 
