Obs	ObsID	Obsdate	Obsdate_err	flux	flux_uer	flux_ler	uplim

number	number	MJD	MJD	ergcm-2s-1	ergcm-2s-1	ergcm-2s-1	ergccm-2s-1
1	00011287001	58583.694838	0.005785	1.84331688e-10	7.72596460e-12	7.90135023e-12	None

2	00011303002	58588.083285	0.006022	2.13879914e-10	9.11884039e-12	9.44748659e-12	None

3	00011303003	58590.143462	0.005557	1.97774366e-10	7.27142532e-12	7.50268641e-12	None

4	00011303004	58592.463284	0.005876	1.58796161e-10	7.10033782e-12	7.40006019e-12	None

5	00011303005	58594.521513	0.005993	1.63406753e-10	7.42961402e-12	7.73709837e-12	None

6	00011303008	58602.034526	0.005441	1.54660710e-10	8.42916080e-12	9.00168679e-12	None

7	00011303009	58604.681073	0.005158	1.06999069e-10	5.82343768e-12	6.11549087e-12	None

8	00011303010	58606.745131	0.005978	1.19839503e-10	6.44786499e-12	6.84476869e-12	None

9	00011303011	58608.795414	0.004991	9.80392545e-11	5.29691225e-12	5.52986021e-12	None

10	00011303012	58610.895137	0.005196	9.83784555e-11	5.27117969e-12	5.50388121e-12	None

11	00011303013	58612.845454	0.004933	7.54918381e-11	4.91556678e-12	5.19739355e-12	None

12	00011303014	58614.376611	0.001567	6.99358729e-11	5.58709400e-12	6.05129004e-12	None

13	00011303015	58616.770068	0.006022	7.52315483e-11	4.70549354e-12	5.05729293e-12	None

14	00011303016	58618.489582	0.005949	6.07715062e-11	2.97358348e-12	3.15036799e-12	None

15	00011303017	58620.359322	0.005659	4.88652359e-11	2.59359296e-12	2.77265909e-12	None

16	00011303018	58622.021214	0.005586	5.69901762e-11	2.80397566e-12	2.94846592e-12	None

17	00011303019	58626.006793	0.004735	5.23600437e-11	3.11331920e-12	3.32042085e-12	None

18	00011303020	58628.250013	0.005949	4.46272371e-11	2.33007010e-12	2.46098032e-12	None

19	00011303021	58630.842682	0.005630	4.07380278e-11	2.32432252e-12	2.47351078e-12	None

20	00011303022	58632.039279	0.005572	4.23447916e-11	2.23178546e-12	2.32485946e-12	None

21	00011303023	58634.574173	0.006129	4.24130984e-11	2.37786267e-12	2.55805435e-12	None

22	00011303024	58636.230917	0.005615	3.61992856e-11	2.03728311e-12	2.15850730e-12	None

23	00011303025	58638.690187	0.006747	4.13237761e-11	2.13109624e-12	2.25733115e-12	None

24	00011303026	58640.073639	0.005253	3.25761683e-11	3.07928160e-12	3.43470304e-12	None

25	00011303027	58642.797608	0.006283	3.54160400e-11	1.96186457e-12	2.08398265e-12	None

26	00011303028	58644.065028	0.006225	3.66944177e-11	2.16340144e-12	2.31750994e-12	None

27	00011303029	58653.755211	0.007008	3.73508079e-11	1.88568902e-12	1.96611402e-12	None

28	00011303030	58660.193494	0.005296	4.67950591e-11	2.32893559e-12	2.41805533e-12	None

29	00011303031	58667.372680	0.004092	2.69587654e-11	2.27842246e-12	2.52078733e-12	None

30	00011303032	58674.813060	0.005398	3.36589063e-11	1.86969962e-12	1.95568296e-12	None

31	00011303033	58681.452342	0.005702	2.53921807e-11	1.86600912e-12	2.04690840e-12	None

32	00011303034	58688.013697	0.002467	1.70176662e-11	2.17246869e-12	2.51883732e-12	None

33	00011303035	58695.254733	0.003976	1.18522281e-11	1.32742524e-12	1.43655338e-12	None

34	00011303036	58702.558390	0.005209	1.26911214e-11	1.81029478e-12	2.26604000e-12	None

35	00011287002	58711.791716	0.005427	2.55976443e-12	5.76282492e-13	7.80367030e-13	None

36	00011287003	58718.432864	0.004788	None	None	None	1.50204e-12
37	00011287004	58720.460141	0.006938	None	None	None	7.18716e-13
38	00011287005	58722.277280	0.005049	None	None	None	7.08317e-13
39	00011287006	58724.273262	0.009780	None	None	None	5.54780e-13
40	00011287007	58725.473576	0.005282	None	None	None	1.14551e-12
41	00011287008	58727.521306	0.009185	None	None	None	7.51307e-12
42	00011287009	58734.768589	0.005427	None	None	None	7.86108e-13
43	00011287010	58739.714188	0.003859	None	None	None	1.11062e-12
44	00011287011	58746.523866	0.005702	None	None	None	1.87962e-12
